Date,Close,High,Low,Open,Volume,sector
,HD,HD,HD,HD,HD,Retail
2015-04-20,89.25382995605469,89.9102258615264,89.1114791094898,89.36454661076013,4396300,Retail
2015-04-21,89.49900817871094,90.1395901537706,88.96914891766686,89.75998579693501,3899500,Retail
2015-04-22,89.35667419433594,89.6097418022066,88.72400819146316,89.52274924635034,4065500,Retail
2015-04-23,90.1238021850586,90.55876503725251,89.01662895242663,89.15897988281658,3945300,Retail
2015-04-24,89.91816711425781,90.18705483959147,89.28550111593374,90.06051801976206,2878300,Retail
2015-04-27,88.0913314819336,90.24240905152814,88.0043389306921,90.19496076307183,5618000,Retail
2015-04-28,87.45075988769531,88.39185184690719,87.03161722879145,87.70382749497355,5743300,Retail
2015-04-29,85.97190856933594,87.23724684260121,85.46577326002983,87.12653012079105,7238900,Retail
2015-04-30,84.60376739501953,86.36733099479927,84.31906551668224,85.85328560148977,9041600,Retail
2015-05-01,86.63619995117188,86.82599915093608,84.50093632779527,84.60374900427371,6696900,Retail
2015-05-04,87.03952026367188,87.34794621797968,86.45430255980673,86.944623683028,3366800,Retail
2015-05-05,85.45784759521484,86.89717074955131,85.3945852183092,86.35940132740319,4164800,Retail
2015-05-06,85.65555572509766,86.13006276409263,84.80936035484781,85.5685631701891,3996600,Retail
2015-05-07,87.02371978759766,87.56148928524175,85.60812058006971,85.72674735803402,5400200,Retail
2015-05-08,88.9454345703125,89.74418159573199,88.66073277973936,88.89007622401256,6435300,Retail
2015-05-11,88.49466705322266,89.2934141626951,88.42348858128557,88.76354875394352,3725200,Retail
2015-05-12,88.98500061035156,89.22225418785087,87.64848982235893,87.87783333831248,4053800,Retail
2015-05-13,87.93318176269531,89.32505075696487,87.86200328404729,89.30132660861834,4340700,Retail
2015-05-14,88.52631378173828,88.74774722156256,87.64848404985725,88.61330635218478,3815700,Retail
2015-05-15,89.6413803100586,89.68092457683959,88.43140056329935,88.51048306325335,4575800,Retail
2015-05-18,90.4164047241211,90.6299280807438,89.49112678940925,90.05262039167732,6878200,Retail
2015-05-19,88.84262084960938,92.11669140237385,88.84262084960938,91.83198961517694,11133200,Retail
2015-05-20,88.65283203125,89.27759402431057,87.95689759987502,88.72401050317228,7004500,Retail
2015-05-21,88.58165740966797,88.83472501789497,88.27323145069154,88.55793326414789,4238600,Retail
2015-05-22,88.70028686523438,88.99289271368046,88.14669730731669,88.47094339556092,3694000,Retail
2015-05-26,87.72755432128906,88.71610063518008,87.5377551184322,88.57374972463546,4612600,Retail
2015-05-27,88.70028686523438,88.99289271368046,87.63265201553878,87.8145471927308,4147800,Retail
2015-05-28,88.72399139404297,89.12731385817388,88.46301377588304,88.50255803327936,2806100,Retail
2015-05-29,88.11505126953125,89.04032905032561,88.07551304230832,88.44720133951787,5310600,Retail
2015-06-01,88.31278991699219,88.84264940037214,87.98063973639064,88.55004349376992,5114500,Retail
2015-06-02,88.71823120117188,89.18730647760361,87.96294800679524,88.05040261654261,6088200,Retail
2015-06-03,89.96644592285156,90.2208576788435,88.60692646745976,88.82158998806045,6337500,Retail
2015-06-04,88.61489868164062,89.9664663708834,88.38433702761115,89.45763667759542,4328600,Retail
2015-06-05,87.74828338623047,88.53536874402714,87.66877479065863,88.51946459865107,4505400,Retail
2015-06-08,87.39848327636719,88.09811417805544,87.31898072980236,87.56544044385,3449000,Retail
2015-06-09,87.08045196533203,87.65287990665571,86.68293323559664,87.28716340317769,3659000,Retail
2015-06-10,88.23328399658203,88.40024118074885,86.96917093695309,87.37464185030457,3967900,Retail
2015-06-11,88.47975158691406,89.30659157162992,88.24918991241724,88.24918991241724,3642800,Retail
2015-06-12,87.93115997314453,88.71824552226919,87.78805295824408,88.16172161190947,4301900,Retail
2015-06-15,87.46208190917969,87.81984637769865,87.09636536683772,87.63699113935522,3965200,Retail
2015-06-16,87.6369857788086,87.81188893263062,87.25536511216345,87.37462194959348,3466600,Retail
2015-06-17,87.8277816772461,88.47971209615274,87.42231090888528,88.03449309757862,5722200,Retail
2015-06-18,88.92493438720703,89.2827048662969,88.05834650923181,88.29685409630424,7222600,Retail
2015-06-19,89.3860855102539,90.07777046701857,88.5989999150776,88.75800502286769,9255100,Retail
2015-06-22,89.8948974609375,90.33217054906358,89.6643358386215,89.78359268680636,3190200,Retail
2015-06-23,89.98236846923828,90.3083307769534,89.78360904127705,90.03006879093894,3075900,Retail
2015-06-24,89.32245635986328,90.37985762489565,89.32245635986328,89.7915316098475,3716100,Retail
2015-06-25,89.23502349853516,90.40372980617009,89.23502349853516,90.03006114284128,4466300,Retail
2015-06-26,89.52123260498047,90.10955873097882,89.22707257480904,89.65638754131088,4208500,Retail
2015-06-29,87.88343811035156,89.29860376315793,87.81983366028844,88.69437361886666,5187400,Retail
2015-06-30,88.35252380371094,88.85340135955407,87.92320278398341,88.36842795202789,5938800,Retail
2015-07-01,89.09984588623047,89.68817189495313,88.62282463414037,89.4019579305682,4216200,Retail
2015-07-02,88.63874816894531,89.6404973319701,88.32868396276127,89.50534238376804,3845000,Retail
2015-07-06,88.50357818603516,88.98855156781543,87.58928380731881,87.66878634771696,3864700,Retail
2015-07-07,89.36222839355469,89.55303572117914,88.01066081993785,88.82160257723906,5515900,Retail
2015-07-08,88.2491455078125,89.40989930643322,88.09014046469049,88.82157336809748,3794100,Retail
2015-07-09,88.55127716064453,89.51327183594944,88.40817016382574,89.29861437354873,3643700,Retail
2015-07-10,89.91873168945312,90.22084979342567,89.11574219061363,89.57686535356338,4631400,Retail
2015-07-13,91.34981536865234,91.44521599227852,90.6899327488474,90.80123752018135,4171900,Retail
2015-07-14,91.71553039550781,91.85068532051295,90.94434301712378,91.03179763110475,3688900,Retail
2015-07-15,91.89043426513672,92.3436053904059,91.4849634481102,91.76322535561677,3364600,Retail
2015-07-16,91.21466827392578,92.15281290262317,90.49913320701157,92.12101067013191,5234800,Retail
2015-07-17,91.00797271728516,91.42934175661492,90.63430400220956,91.02387080348431,5497600,Retail
2015-07-20,90.1651840209961,90.72170771039158,89.17933339170511,89.2429378321084,6107500,Retail
2015-07-21,90.52298736572266,90.61044199252485,89.584842695563,90.16522284928159,4660600,Retail
2015-07-22,91.34981536865234,91.49292236974672,90.47527528003337,90.60247813342,5485200,Retail
2015-07-23,91.10335540771484,92.31181595296982,90.9761525462254,91.59628090191826,4308900,Retail
2015-07-24,90.30831909179688,91.61218635091672,90.18111622850199,91.22261355524763,4427800,Retail
2015-07-27,89.8948974609375,90.54682802327213,89.60868345155592,90.13341115730722,4468200,Retail
2015-07-28,91.30211639404297,91.45317548123924,89.98235711308091,90.44348038351279,4176800,Retail
2015-07-29,92.5185317993164,92.82859599181693,91.51678268050004,91.55653698852556,5104000,Retail
2015-07-30,92.59008026123047,92.81268982375795,91.70758802002824,92.17666336877312,3291100,Retail
2015-07-31,93.0432357788086,93.91777579804753,92.5185141935271,93.00348754400275,4301200,Retail
2015-08-03,92.93193054199219,93.57590895971373,92.35155657842094,93.51231057121804,3645000,Retail
2015-08-04,93.44075012207031,93.67131170944722,92.42310316099586,92.72521520704785,3008200,Retail
2015-08-05,93.81441497802734,94.23578383750875,93.0988800913353,94.11652701211773,4299100,Retail
2015-08-06,92.66957092285156,94.21194564488285,92.28000423839956,94.12449103287149,4768900,Retail
2015-08-07,92.96373748779297,93.14659878634322,92.04944312635153,92.78087618924272,3986100,Retail
2015-08-10,93.49639129638672,94.08471723794455,93.3055840304646,93.44073892442387,3408900,Retail
2015-08-11,93.5679702758789,93.92573474358146,92.82858511905924,93.0352905127449,4080000,Retail
2015-08-12,93.5679702758789,93.71902328424072,91.98584119974167,93.1227451276331,4575800,Retail
2015-08-13,94.6253662109375,95.51581044755103,93.6474734245235,93.81443058157821,6255500,Retail
2015-08-14,95.20574951171875,95.31705428685581,94.18015031310844,94.84798502958611,5135500,Retail
2015-08-17,95.16596221923828,96.00075380905658,94.39478113472002,94.68894105319349,7255600,Retail
2015-08-18,97.63059997558594,98.42563741491267,96.31878698756594,96.8594126889343,11021900,Retail
2015-08-19,97.59882354736328,98.41771135581278,97.09794594617719,97.52726700476988,6490300,Retail
2015-08-20,95.83382415771484,97.41594713682751,95.83382415771484,96.97868013671152,5555500,Retail
2015-08-21,92.3515625,95.69071770348697,92.34361042630768,95.03878717078122,10190700,Retail
2015-08-24,89.4735336303711,92.12895634436133,73.27861528160471,87.49389167381237,13983100,Retail
2015-08-25,88.22529602050781,93.01937028791906,88.16169157651989,93.01937028791906,10221100,Retail
2015-08-26,92.168701171875,92.24820371180986,89.10780789197048,90.68197880590766,9313200,Retail
2015-08-27,93.54411315917969,93.88597345383353,91.69167436807446,93.41690425038834,7579100,Retail
2015-08-28,93.43280792236328,94.180145142098,92.95578661715909,93.3612574561274,5016000,Retail
2015-08-31,92.59008026123047,93.40896803723753,92.16871129420981,93.02735337737776,5444500,Retail
2015-09-01,90.35260772705078,91.69507176671259,89.9450723677233,91.08776500920054,7392900,Retail
2015-09-02,93.0775146484375,93.0775146484375,91.35148643152041,91.75902188771596,6487400,Retail
2015-09-03,93.17339324951172,94.35604279145642,92.83777871202182,93.51700035119144,5302900,Retail
2015-09-04,91.43138885498047,92.44623115825868,90.68823887334679,91.63915285429213,5752000,Retail
2015-09-08,93.03755950927734,93.20536679491943,91.67911609415145,92.44623772703275,5775800,Retail
2015-09-09,91.07182312011719,93.86862383527335,90.8560665080275,93.58095241684823,5316400,Retail
2015-09-10,91.48733520507812,92.22249880394101,90.84807019735784,91.0957848544021,5259100,Retail
2015-09-11,92.24646759033203,92.26244662400778,90.85605389544642,91.07181047758493,4472800,Retail
2015-09-14,91.67913055419922,92.4382597418192,91.43140977262095,92.29442403193373,4248700,Retail
2015-09-15,92.8377914428711,93.19737762570033,91.01587673632642,91.71907006795423,4994000,Retail
2015-09-16,94.14828491210938,94.31609219175141,92.66997746108524,92.75787738326066,5285100,Retail
2015-09-17,94.22021484375,95.74646563642074,93.7087942944933,94.55582943524311,6607100,Retail
2015-09-18,91.99075317382812,93.65284689032254,91.87888165723352,93.10148187183206,11366700,Retail
2015-09-21,93.15744018554688,93.58095475755994,92.11063346032802,92.66200470885772,5201100,Retail
2015-09-22,92.5341567993164,93.00561459035802,91.80698564786192,92.21452119534237,4631600,Retail
2015-09-23,92.82978820800781,93.13344468855792,92.42225887338583,92.57408101712055,4084900,Retail
2015-09-24,92.96561431884766,93.21333499660716,91.7669859376565,92.16652873138689,5172300,Retail
2015-09-25,93.28528594970703,94.42797902678042,92.72592826017807,93.67684242891889,5478900,Retail
2015-09-28,91.17570495605469,93.79670587592078,90.97593347013145,93.11748404309017,5994600,Retail
2015-09-29,90.22480010986328,91.83895109234547,89.33781419238426,91.26360821651669,7908800,Retail
2015-09-30,92.28642272949219,92.39829426030828,91.09578652492601,91.39145048296349,5395600,Retail
2015-10-01,93.51700592041016,93.59691327744645,91.68709879053843,92.87774096757924,5215200,Retail
2015-10-02,94.14029693603516,94.21221782883912,91.66313215458382,92.34235387096777,4359800,Retail
2015-10-05,95.25102233886719,95.32294322911845,94.22020704977135,94.89143617723289,4528700,Retail
2015-10-06,94.83549499511719,95.251016893619,94.2681448565184,95.17110953966176,5275400,Retail
2015-10-07,95.6106185913086,95.76244074988709,94.68367612337663,95.25102631811116,4680100,Retail
2015-10-08,96.73733520507812,96.87318443878432,95.21108433622547,95.33893490751535,4958200,Retail
2015-10-09,96.95308685302734,97.08892998324967,96.26587253990822,96.90513755677034,3893500,Retail
2015-10-12,97.4085693359375,97.84806290905568,96.68939082946788,97.0809412010019,2861900,Retail
2015-10-13,97.17682647705078,97.72020507526439,96.8012551684492,97.30467703728524,2971400,Retail
2015-10-14,96.1060562133789,97.3925849693514,95.5387059695248,96.95309139278122,5200400,Retail
2015-10-15,97.33662414550781,97.51242396949871,96.2099165136732,96.3857163376641,3448900,Retail
2015-10-16,98.07975769042969,98.14368599694102,97.19277225133636,97.19277225133636,4068800,Retail
2015-10-19,98.36744689941406,98.44735424884588,97.64826856144765,97.97589661962012,3097700,Retail
2015-10-20,98.16768646240234,98.42339366712149,97.7681435739949,98.19965062505982,3318400,Retail
2015-10-21,98.52729034423828,99.10262705032963,98.08779067652122,98.51929777849577,3491800,Retail
2015-10-22,99.37431335449219,99.4702058479283,98.19166365494421,99.0067346077986,5855300,Retail
2015-10-23,99.57408142089844,100.4850387396419,98.26358120458183,99.89371695826509,5281600,Retail
2015-10-26,99.89372253417969,100.41312954932542,99.10262316331756,99.52614377947963,4550200,Retail
2015-10-27,99.46219635009766,99.95762557382251,98.94278943469001,99.49416050913473,3674800,Retail
2015-10-28,98.94280242919922,99.55809580598681,97.6642663825011,99.39028852140838,6821500,Retail
2015-10-29,98.79097747802734,99.14257718881711,98.08778415298876,98.6231701878434,4635300,Retail
2015-10-30,98.79895782470703,99.68594346065733,98.50329391387685,98.50329391387685,4991500,Retail
2015-11-02,99.41427612304688,99.59806245928708,98.59121255494136,99.2784268916251,3715600,Retail
2015-11-03,100.41313171386719,100.71678214476299,98.93481800122971,99.27043869453074,4313700,Retail
2015-11-04,100.18936920166016,100.5809256089093,99.58206842079701,100.2692826539415,4101200,Retail
2015-11-05,100.46109008789062,100.69282575299945,99.8457904710225,100.25332602666508,3059400,Retail
2015-11-06,100.66881561279297,100.77269455536947,99.7418733071939,100.10145942087708,3752000,Retail
2015-11-09,99.48615264892578,100.78067345646103,98.8548743222194,100.52496632002014,4988800,Retail
2015-11-10,100.09347534179688,100.21333941473105,99.11858982352425,99.47817594578677,3872900,Retail
2015-11-11,99.65398406982422,100.22932679057593,99.50215582503127,100.22932679057593,3240200,Retail
2015-11-12,98.93480682373047,99.86174923943723,98.33549249870852,99.23047075216257,4285700,Retail
2015-11-13,95.89028930664062,98.48731797536213,95.81038195152651,98.36745389442076,8728800,Retail
2015-11-16,96.5615005493164,96.71332876353547,94.77954308328314,95.9302282930713,7785700,Retail
2015-11-17,100.82865142822266,100.9565019922858,98.36746558046067,99.77385836440197,10517100,Retail
2015-11-18,101.11629486083984,101.26812307919381,99.61401609334496,101.03638751832597,6502000,Retail
2015-11-19,101.37200164794922,101.97930842262784,100.64483081166385,101.10830193172225,4662200,Retail
2015-11-20,104.0489730834961,104.0489730834961,101.5558169596078,101.77157355149134,8191900,Retail
2015-11-23,105.87886047363281,105.9907319894289,104.0489594953082,104.0489594953082,6329700,Retail
2015-11-24,106.75786590576172,107.0215534852768,105.27156585581493,105.42338191299342,6672700,Retail
2015-11-25,107.596923828125,108.06839382963469,106.71793655373517,106.82980810476968,5300900,Retail
2015-11-27,107.66881561279297,108.25214478143039,107.50100224459504,107.72474527347187,3337700,Retail
2015-11-30,106.98162078857422,108.13230639884134,106.2864077864062,108.03640780259721,8057900,Retail
2015-12-01,107.8965835571289,108.05711792433995,106.95751629479736,107.16620607335062,5267600,Retail
2015-12-02,107.39894104003906,108.07314116568708,107.20631943102559,108.00090806230702,5022700,Retail
2015-12-03,105.08740997314453,107.64777897282445,104.983077324583,107.16621258309704,6688000,Retail
2015-12-04,107.97687530517578,108.21766466371854,105.42453994696685,105.58506210364351,5387100,Retail
2015-12-07,107.49529266357422,108.18554893443348,106.90135948084873,107.55148215224018,5444300,Retail
2015-12-08,107.4230728149414,108.00096242697617,106.27532765999183,106.51611703951575,4731400,Retail
