Date,Close,High,Low,Open,Volume,sector
,MSFT,MSFT,MSFT,MSFT,MSFT,Tech
2015-01-02,40.07212829589844,40.63773136497708,39.88359611893786,39.98643214901622,27913900,Tech
2015-01-05,39.703643798828125,40.046431755172584,39.63508424609959,39.73792030609299,39673900,Tech
2015-01-06,39.12089538574219,40.063566224562905,39.026627648040325,39.74648650882852,36447900,Tech
2015-01-07,39.617942810058594,39.81504661280325,38.98378331759305,39.40369911980145,29114100,Tech
2015-01-08,40.78342056274414,40.920536365351005,40.03785359038797,40.06356178178344,29645200,Tech
2015-01-09,40.44062805175781,40.980522936464126,40.19210791545673,40.80055906459485,23944200,Tech
2015-01-12,39.93501663208008,40.74057488016889,39.7293445506395,40.63773557034981,23651900,Tech
2015-01-13,39.729331970214844,41.057641578325764,39.47224031527366,40.252086854417314,35270600,Tech
2015-01-14,39.38656234741211,39.62651752246592,39.095190774853556,39.38656234741211,29719600,Tech
2015-01-15,38.97520065307617,39.74647902625709,38.91521269839525,39.60936323425808,32750800,Tech
2015-01-16,39.62649917602539,39.660775668792574,38.70953352617026,38.82951269269848,35695300,Tech
2015-01-20,39.75505447387695,39.97786971908416,39.05233550502149,39.677926622705066,36161900,Tech
2015-01-21,39.35227966308594,39.540815157610076,38.975211943136955,39.36941955068807,39081100,Tech
2015-01-22,40.38922119140625,40.397789500568045,39.48939835085179,39.746490123996026,35898000,Tech
2015-01-23,40.432064056396484,40.61202794745758,40.10641277559628,40.58631975419138,26211600,Tech
2015-01-26,40.286373138427734,40.389212440683686,39.62650559566075,40.277804831122346,42525500,Tech
2015-01-27,36.55854415893555,37.021311326933315,36.087208681500506,36.80706763090835,169164000,Tech
2015-01-28,35.298789978027344,36.669951586193555,35.273081780763384,36.62710350105384,84507100,Tech
2015-01-29,36.00149154663086,36.09575924960447,34.95598504689081,35.07596093463985,63585300,Tech
2015-01-30,34.62177658081055,35.6330069121984,34.57892523375778,35.60729545014698,78004900,Tech
2015-02-02,35.37590408325195,35.45303191415257,34.476081568810145,34.78459289241261,50352500,Tech
2015-02-03,35.65013885498047,35.932942016783855,35.1788035210732,35.675850313661556,52082400,Tech
2015-02-04,35.855831146240234,36.172910954499486,35.4444835727715,35.941527331467086,41614800,Tech
2015-02-05,36.378570556640625,36.54139454540795,35.872955437828054,36.18146680104908,36548200,Tech
2015-02-06,36.34428787231445,36.66993909280626,36.12147594403999,36.57567137615614,34616600,Tech
2015-02-09,36.30143737792969,36.62708857667779,36.172889905790214,36.19860136167692,31381100,Tech
2015-02-10,36.50712203979492,36.65280944322563,36.14719422384696,36.627101247543386,29670700,Tech
2015-02-11,36.31857681274414,36.549960298294444,36.17288946150226,36.549960298294444,38262500,Tech
2015-02-12,36.927032470703125,36.927032470703125,36.42998567625939,36.558533162849564,33268800,Tech
2015-02-13,37.595481872558594,37.595481872558594,36.97846226725131,37.17556607010912,40264900,Tech
2015-02-17,37.61274719238281,37.97523650596854,37.27614573958478,37.949345352816515,33695700,Tech
2015-02-18,37.569580078125,37.71630425264847,37.44875034167237,37.65588938442215,27111700,Tech
2015-02-19,37.54369354248047,37.56958469136714,37.15530984736136,37.267510313143276,27603400,Tech
2015-02-20,37.854408264160156,37.871670131080364,37.36245658020988,37.552330531603225,29721100,Tech
2015-02-23,38.10470199584961,38.13922243877496,37.67316518181899,37.71631820474913,32518800,Tech
2015-02-24,38.052921295166016,38.23416599024062,37.906197047463934,38.10470690477234,25271700,Tech
2015-02-25,37.966590881347656,38.052896882958315,37.802604868979316,37.93206716375823,29759800,Tech
2015-02-26,38.02701187133789,38.17373275620168,37.88028769411065,37.966597001998274,28957300,Tech
2015-02-27,37.845760345458984,38.14783795558249,37.68177761472666,38.08742309203041,33807700,Tech
2015-03-02,37.871665954589844,38.13921663143638,37.586850120362634,37.69041801809794,31924000,Tech
2015-03-03,37.353816986083984,37.828510006338334,37.18983421968221,37.5954797852218,31748600,Tech
2015-03-04,37.163944244384766,37.29340328751888,37.008590758732666,37.12078793764277,25748700,Tech
2015-03-05,37.20710754394531,37.31930804623503,36.95681538205475,37.172583805953884,23193500,Tech
2015-03-06,36.559783935546875,37.20708888258598,36.37853934054309,37.112150296908794,36248800,Tech
2015-03-09,36.98269271850586,37.22435550176883,36.41306442398342,36.41306442398342,32108000,Tech
2015-03-10,36.27498245239258,36.86187276536645,36.27498245239258,36.551165741749166,39159700,Tech
2015-03-11,36.231815338134766,36.56841338534319,36.110985607584375,36.51663109645773,32215300,Tech
2015-03-12,35.40327835083008,35.94701562354828,35.265186710878645,35.67083234364541,59992500,Tech
2015-03-13,35.7139778137207,35.79165455054496,35.0494109080829,35.12708764490715,58007700,Tech
2015-03-16,35.869327545166016,35.93837169716001,35.62766478227866,35.79165081644568,35273500,Tech
2015-03-17,35.99015426635742,36.10235470785997,35.51546464942628,35.705338520780884,31673400,Tech
2015-03-18,36.68061447143555,36.9654302347246,35.67082031220335,35.757126323426114,44194800,Tech
2015-03-19,36.49937438964844,36.7582957477244,36.43895951584284,36.473479949186256,33879100,Tech
2015-03-20,37.008583068847656,37.0948890796705,36.671985017329966,36.73239988337861,71904500,Tech
2015-03-23,36.991329193115234,37.22435942347449,36.922281735661834,37.00859105747859,26246100,Tech
2015-03-24,37.025848388671875,37.258875298137056,36.89638606797915,36.922277215172265,25513300,Tech
2015-03-25,35.78302764892578,37.051746787515306,35.765765783297404,37.043114208519,43469900,Tech
2015-03-26,35.56724548339844,35.9124760774469,35.31695346733145,35.575878059049266,37495600,Tech
2015-03-27,35.3601188659668,35.757131846697916,35.23928911464548,35.489577902798004,34401400,Tech
2015-03-30,35.351478576660156,35.85206262849736,35.30832557379631,35.472308301624146,35049700,Tech
