date,price,sector
2020-09-14,3.2799481539297526,Crypto
2020-09-15,3.1618702655939703,Crypto
2020-09-16,2.6145804329264397,Crypto
2020-09-17,2.619379193760901,Crypto
2020-09-18,2.9666335638887995,Crypto
2020-09-19,3.0687088283041937,Crypto
2020-09-20,2.882563724380976,Crypto
2020-09-21,2.77504567086142,Crypto
2020-09-22,2.880431942210397,Crypto
2020-09-23,2.8899049059714104,Crypto
2020-09-24,3.019110116518219,Crypto
2020-09-25,3.090996208211248,Crypto
2020-09-26,3.1209782662268943,Crypto
2020-09-27,3.1105967146144304,Crypto
2020-09-28,3.0651469460224567,Crypto
2020-09-29,2.964240488243563,Crypto
2020-09-30,2.902729699468637,Crypto
2020-10-01,2.8882609000418644,Crypto
2020-10-02,2.659349318040941,Crypto
2020-10-03,2.631403490437508,Crypto
2020-10-04,2.513845924042841,Crypto
2020-10-05,2.570345732343994,Crypto
2020-10-06,2.44746321044636,Crypto
2020-10-07,2.240954239705799,Crypto
2020-10-08,2.2627802111690083,Crypto
2020-10-09,2.483965861969768,Crypto
2020-10-10,2.506544080956747,Crypto
2020-10-11,2.4070501404337654,Crypto
2020-10-12,2.547964517882929,Crypto
2020-10-13,2.4566720294487294,Crypto
2020-10-14,2.3435500468139967,Crypto
2020-10-15,2.272186163399249,Crypto
2020-10-16,2.18156845240438,Crypto
2020-10-17,2.193176520265511,Crypto
2020-10-18,2.2206974270549105,Crypto
2020-10-19,2.101369628017776,Crypto
2020-10-20,1.9555469322321009,Crypto
2020-10-21,1.9306994808019289,Crypto
2020-10-22,1.997420075489404,Crypto
2020-10-23,1.9436574960450868,Crypto
2020-10-24,1.9287963745539671,Crypto
2020-10-25,1.863928847987837,Crypto
2020-10-26,1.778202755448138,Crypto
2020-10-27,1.6922642474096723,Crypto
2020-10-28,1.5665624596877996,Crypto
2020-10-29,1.5100271896657111,Crypto
2020-10-30,1.4161406102405416,Crypto
2020-10-31,1.5005796319792415,Crypto
2020-11-01,1.5660092844953728,Crypto
2020-11-02,1.5301460173759154,Crypto
2020-11-03,1.4452441682532808,Crypto
2020-11-04,1.3668761386394184,Crypto
2020-11-05,1.3988036097527206,Crypto
2020-11-06,1.6802283973003018,Crypto
2020-11-07,2.155190023629269,Crypto
2020-11-08,2.102429123721177,Crypto
2020-11-09,2.073751760589096,Crypto
2020-11-10,2.180745483410937,Crypto
2020-11-11,2.151507546839316,Crypto
2020-11-12,1.9569755909021456,Crypto
2020-11-13,1.9872178793561992,Crypto
2020-11-14,1.9459487120026169,Crypto
2020-11-15,2.062558412962,Crypto
2020-11-16,2.241376152013544,Crypto
2020-11-17,2.2351199975423204,Crypto
2020-11-18,2.1155909917649547,Crypto
2020-11-19,2.0958312299541046,Crypto
2020-11-20,2.14405431771066,Crypto
2020-11-21,2.237197738154817,Crypto
2020-11-22,2.198490524009483,Crypto
2020-11-23,2.254801595356939,Crypto
2020-11-24,2.280764607295059,Crypto
2020-11-25,2.3185128785516707,Crypto
2020-11-26,1.9033852256593533,Crypto
2020-11-27,1.8768959160564047,Crypto
2020-11-28,1.875222134761946,Crypto
2020-11-29,1.9004543130432872,Crypto
2020-11-30,1.9636630134044992,Crypto
2020-12-01,2.0171771385563617,Crypto
2020-12-02,2.078517322835783,Crypto
2020-12-03,2.141114190124265,Crypto
2020-12-04,1.9976901142564296,Crypto
2020-12-05,1.914642615597176,Crypto
2020-12-06,1.8835181772178755,Crypto
2020-12-07,1.84896956025104,Crypto
2020-12-08,1.741650296203619,Crypto
2020-12-09,1.628819394661414,Crypto
2020-12-10,1.602423458759899,Crypto
2020-12-11,1.4878140398891853,Crypto
2020-12-12,1.5027469798934063,Crypto
2020-12-13,1.5435635886816053,Crypto
2020-12-14,1.570274667541103,Crypto
2020-12-15,1.7157924357407404,Crypto
2020-12-16,1.6830199139626276,Crypto
2020-12-17,1.717379169203871,Crypto
2020-12-18,1.670882128588466,Crypto
2020-12-19,1.7125871092306415,Crypto
2020-12-20,1.6322060517689791,Crypto
2020-12-21,1.5526737267375488,Crypto
2020-12-22,1.5237898871013618,Crypto
2020-12-23,1.354442315386142,Crypto
2020-12-24,1.289887566826372,Crypto
2020-12-25,1.4088665341157631,Crypto
2020-12-26,1.3811644098286835,Crypto
2020-12-27,1.3225997187495635,Crypto
2020-12-28,1.3852060524298893,Crypto
2020-12-29,1.5611310934412628,Crypto
2020-12-30,1.590672227548525,Crypto
2020-12-31,1.5015877091525416,Crypto
2021-01-01,1.6507800387231375,Crypto
2021-01-02,1.805737526029236,Crypto
2021-01-03,2.040834430598343,Crypto
2021-01-04,2.223117588329372,Crypto
2021-01-05,2.2737047481185453,Crypto
2021-01-06,2.0509184742197903,Crypto
2021-01-07,2.272073308980728,Crypto
2021-01-08,2.8781419847494427,Crypto
2021-01-09,3.244880691200923,Crypto
2021-01-10,3.4508619743170192,Crypto
2021-01-11,3.018564789052764,Crypto
2021-01-12,3.4025204452932,Crypto
2021-01-13,3.445288052852,Crypto
2021-01-14,3.3753422874640564,Crypto
2021-01-15,3.285780571021572,Crypto
2021-01-16,3.434897052135028,Crypto
2021-01-17,3.6168647064480095,Crypto
2021-01-18,3.8872848614794178,Crypto
2021-01-19,3.8218948525445673,Crypto
2021-01-20,3.5960004771286425,Crypto
2021-01-21,3.408817535584145,Crypto
2021-01-22,3.217012435512664,Crypto
2021-01-23,3.4855915092759853,Crypto
2021-01-24,3.6315148270384223,Crypto
2021-01-25,3.6400486550939575,Crypto
2021-01-26,3.88355226962329,Crypto
2021-01-27,3.7612609265370858,Crypto
